module Base	{

	item	Shotgun		{	
				
	DisplayName                 	=	H&R Pardner 12g Pump 	,
	Icon                        	=	Shotgun2,	
	WeaponSprite                	=	Shotgun,	
	Type                        	=	Weapon,	
	SubCategory                 	=	Firearm,	
	Ranged                      	=	TRUE,	
	IsAimedFirearm              	=	TRUE,	
	IsAimedHandWeapon           	=	TRUE,	
	WeaponReloadType            	=	shotgun,	
	RackAfterShoot              	=	TRUE,	
	AttachmentType              	=	Rifle,	
	UseEndurance                	=	FALSE,	
	TwoHandWeapon               	=	TRUE,	
	RequiresEquippedBothHands   	=	TRUE,	
	/* ============ PERFORMANCE DATA ============= */			
	MinRange                    	=	0.61	,
	MaxRange                    	=	13	,
	RangeFalloff                	=	TRUE,	
	AimingPerkRangeModifier     	=	0.5	,
	MinDamage                   	=	1.5	,
	MaxDamage                   	=	2	,
	CriticalChance              	=	50	,
	CritDmgMultiplier            	=	2,	
	AimingPerkCritModifier      	=	3,	
	AimingMod                   	=	2,	
	HitChance                   	=	65	,
	AimingPerkHitChanceModifier 	=	10	,
	MinAngle                     	=	0.908	,
	AngleFalloff                	=	TRUE,	
	ConditionMax                	=	40,	
	ConditionLowerChanceOneIn   	=	60,	
	MultipleHitConditionAffected	=	FALSE,	
	JamGunChance                	=	0.03,	
	AimingTime                  	=	22	,
	ReloadTime                  	=	25,	
	SwingTime                   	=	2.0	,
	MinimumSwingTime            	=	2.0	,
	RecoilDelay                 	=	40	,
	Weight                      	=	3.4	,
	OAL				=	3.2	,
	/* ============= AMMUNITION DATA ============= */			
	AmmoType                    	=	Base.ShotgunShells,	
	AmmoBox                     	=	ShotgunShellsBox,	
	MaxAmmo                     	=	5,	
	ProjectileCount             	=	5,	
	MaxHitCount                 	=	4,	
	ShareDamage                 	=	FALSE,	
	SplatNumber                 	=	5,	
	SplatBloodOnNoDeath         	=	TRUE,	
	PushBackMod                 	=	0.8,	
	KnockBackOnNoDeath          	=	TRUE,	
	KnockdownMod                	=	8,	
	DoorDamage                  	=	20,	
	/* ============ ANIMATION & SOUND ============ */			
	RunAnim                     	=	Run_Weapon2,	
	MetalValue                  	=	45,	
	SoundVolume                 	=	68,	
	SoundRadius                 	=	68,	
	SoundGain                   	=	2,	
	SwingSound                  	=	DT11shot,
	InsertAmmoSound             	=	StormyShotgunInsertRound,	
